Wilayah;Kecamatan;Nama Faskes (Rumah Sakit dan Puskesmas);Jenis Penyakit;Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;September;Oktober;November
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit mata dan adnexa;11;113;22;6;10;12;8;12;9;18;8
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit telinga dan mastoid;57;26;163;39;85;56;57;62;47;92;73
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem sirkulasi;141;1;359;65;89;65;72;76;58;81;89
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem pernafasan;324;90;1.173;358;459;379;397;625;656;570;393
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem pencernaan;507;48;1.396;335;474;432;492;458;441;513;479
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada kulit dan jaringan subcutaneous;73;574;256;90;88;76;86;109;94;91;145
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem musculoskletal;152;3;428;82;151;133;154;143;119;145;176
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem saluran kemih dan genital;34;0;97;27;34;36;34;42;39;51;61
Surabaya Barat;Tandes;Puskesmas Balongsari;Kehamilan dan kelahiran;16;0;57;9;21;17;17;14;18;19;8
Surabaya Barat;Tandes;Puskesmas Balongsari;Keadaan yang berasal dari periode perinatal;8;5;16;5;10;8;4;8;3;7;7
Surabaya Barat;Tandes;Puskesmas Balongsari;Malformasi kongenital, deformasi dan kelainan chromosom;1;1;4;0;2;1;4;4;2;1;4
Surabaya Barat;Tandes;Puskesmas Balongsari;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;129;3;341;74;83;98;79;92;90;124;113
Surabaya Barat;Tandes;Puskesmas Balongsari;Keracunan, cedera dan beberapa penyebab yang dari luar;41;56;144;21;52;33;45;47;52;61;76
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyebab morbiditas dan kematian eksternal;1;1;3;1;0;0;1;2;2;0;4
Surabaya Barat;Tandes;Puskesmas Balongsari;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;664;7;1.829;454;640;594;764;683;501;568;372
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit Infeksi dan parasit;14;22;25;6;6;3;15;8;4;21;17
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Neoplasma;2;204;3;0;2;0;6;3;5;5;4
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;0;2;0;0;0;0;1;0;1;0;1
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Endokrin, nutrisi dan gangguan metabolik;2;5;7;2;3;1;1;3;2;9;10
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Gangguan jiwa dan perilaku;2;3;3;1;1;1;2;1;1;1;0
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit yang mengenai sistem syaraf;0;0;3;2;2;0;0;3;2;3;0
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit mata dan adnexa;65;5;179;49;89;64;62;82;69;60;56
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit telinga dan mastoid;6;8;11;4;2;1;2;2;4;0;7
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem sirkulasi;7;45;18;1;4;0;4;3;8;19;9
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem pernafasan;27;101;89;16;21;19;20;40;22;36;66
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem pencernaan;179;11;559;144;191;174;226;257;252;282;303
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada kulit dan jaringan subcutaneous;7;3;12;2;9;6;7;5;8;8;17
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem musculoskletal;9;32;20;3;7;2;9;13;8;11;11
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem saluran kemih dan genital;4;18;11;2;4;2;4;1;6;6;7
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Kehamilan dan kelahiran;2;23;2;1;0;1;1;1;1;0;0
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Keadaan yang berasal dari periode perinatal;0;93;0;0;0;0;0;0;0;0;1
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Malformasi kongenital, deformasi dan kelainan chromosom;0;26;0;0;0;0;0;1;0;0;0
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;6;36;19;6;5;7;12;7;6;29;10
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Keracunan, cedera dan beberapa penyebab yang dari luar;3;436;16;4;6;5;11;11;11;15;12
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyebab morbiditas dan kematian eksternal;0;446;0;1;0;0;0;0;0;0;2
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;51;85;174;76;99;61;123;94;60;122;69
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit Infeksi dan parasit;134;107;381;95;143;123;138;152;118;89;171
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Neoplasma;11;33;33;9;19;14;15;20;17;7;18
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3;3;8;1;2;3;8;3;3;4;1
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Endokrin, nutrisi dan gangguan metabolik;46;60;110;34;53;28;114;106;47;58;73
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Gangguan jiwa dan perilaku;24;50;57;11;31;28;17;18;32;20;20
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit yang mengenai sistem syaraf;18;439;60;12;31;19;31;22;20;20;29
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit mata dan adnexa;115;170;323;80;87;62;136;110;129;83;74
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit telinga dan mastoid;42;22;103;34;59;37;56;45;41;60;88
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem sirkulasi;82;6;207;48;74;45;84;98;76;67;81
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem pernafasan;465;87;1.401;388;471;429;454;659;628;538;475
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem pencernaan;504;20;1.416;334;500;441;536;465;443;451;516
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada kulit dan jaringan subcutaneous;75;64;253;85;113;84;103;122;97;103;139
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem musculoskletal;149;43;367;94;181;124;199;163;159;151;184
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem saluran kemih dan genital;35;56;112;31;34;27;44;45;32;27;43
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Kehamilan dan kelahiran;13;100;35;9;8;23;10;8;4;2;1
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Keadaan yang berasal dari periode perinatal;2;637;4;2;3;6;1;2;1;1;2
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Malformasi kongenital, deformasi dan kelainan chromosom;3;862;8;0;1;2;2;2;2;1;0
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;72;144;185;48;81;63;107;118;111;126;100
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Keracunan, cedera dan beberapa penyebab yang dari luar;62;247;160;28;59;62;78;83;70;59;75
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyebab morbiditas dan kematian eksternal;0;76;6;2;5;0;1;1;1;2;0
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;386;2;1.219;363;495;449;527;484;266;160;147
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit Infeksi dan parasit;169;207;509;163;117;93;160;177;159;183;165
Surabaya Barat;Pakal;Puskesmas Benowo;Neoplasma;23;68;80;24;26;27;25;23;33;31;21
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;4;784;18;3;3;1;5;5;6;6;3
Surabaya Barat;Pakal;Puskesmas Benowo;Endokrin, nutrisi dan gangguan metabolik;96;142;265;47;65;63;94;96;105;160;119
Surabaya Barat;Pakal;Puskesmas Benowo;Gangguan jiwa dan perilaku;24;10;62;18;22;16;29;25;13;17;34
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit yang mengenai sistem syaraf;69;5;199;46;68;39;58;44;37;102;66
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit mata dan adnexa;82;157;192;32;25;31;57;44;51;50;46
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit telinga dan mastoid;70;2;200;44;45;39;56;78;46;75;66
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem sirkulasi;96;29;287;84;58;61;86;89;85;76;70
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem pernafasan;685;92;2.156;567;554;430;530;787;713;741;538
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem pencernaan;939;48;2.729;687;982;828;963;961;851;928;804
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada kulit dan jaringan subcutaneous;151;241;473;125;178;136;214;198;172;223;226
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem musculoskletal;239;534;749;170;266;208;314;305;240;230;239
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem saluran kemih dan genital;89;533;234;59;45;50;82;91;74;65;77
Surabaya Barat;Pakal;Puskesmas Benowo;Kehamilan dan kelahiran;57;147;114;19;20;14;14;15;11;10;19
Surabaya Barat;Pakal;Puskesmas Benowo;Keadaan yang berasal dari periode perinatal;2;224;6;0;1;1;1;5;3;2;4
Surabaya Barat;Pakal;Puskesmas Benowo;Malformasi kongenital, deformasi dan kelainan chromosom;1;46;6;4;4;1;5;0;2;1;3
Surabaya Barat;Pakal;Puskesmas Benowo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;200;1;694;203;165;135;152;198;161;176;175
Surabaya Barat;Pakal;Puskesmas Benowo;Keracunan, cedera dan beberapa penyebab yang dari luar;64;108;197;57;54;55;59;64;50;73;47
Surabaya Barat;Pakal;Puskesmas Benowo;Penyebab morbiditas dan kematian eksternal;1;63;4;0;1;1;0;0;1;2;1
Surabaya Barat;Pakal;Puskesmas Benowo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;1.093;291;2.577;467;768;649;943;656;641;732;529
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit Infeksi dan parasit;180;168;499;129;129;158;156;155;144;202;169
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Neoplasma;11;10;33;7;13;17;15;15;6;18;10
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;4;2;12;0;2;1;3;8;3;9;5
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Endokrin, nutrisi dan gangguan metabolik;153;106;451;59;101;105;134;120;106;125;108
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Gangguan jiwa dan perilaku;4;11;17;2;2;9;2;6;8;6;3
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit yang mengenai sistem syaraf;25;26;82;17;23;8;20;15;24;51;34
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit mata dan adnexa;85;104;265;65;72;60;70;79;103;114;76
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit telinga dan mastoid;43;37;146;40;45;38;36;41;27;49;47
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem sirkulasi;354;106;1.049;255;328;341;384;451;431;550;458
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem pernafasan;686;519;1.915;512;634;810;819;990;1.109;1.104;653
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem pencernaan;660;298;1.844;572;528;692;743;741;561;582;625
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada kulit dan jaringan subcutaneous;196;144;557;220;209;265;259;190;162;249;185
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem musculoskletal;255;181;777;162;247;336;365;311;338;444;331
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem saluran kemih dan genital;56;33;185;50;62;46;57;59;54;53;43
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Kehamilan dan kelahiran;13;0;44;16;21;16;15;18;10;24;21
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Keadaan yang berasal dari periode perinatal;0;74;0;0;4;1;3;5;2;3;10
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Malformasi kongenital, deformasi dan kelainan chromosom;4;57;5;1;3;2;3;3;3;2;4
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;176;183;435;78;99;208;162;109;133;117;109
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Keracunan, cedera dan beberapa penyebab yang dari luar;59;138;173;41;40;67;45;45;36;38;43
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyebab morbiditas dan kematian eksternal;0;31;1;1;1;2;1;1;1;0;2
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;300;8;952;227;423;461;315;296;301;336;315
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit Infeksi dan parasit;140;61;416;68;131;166;124;109;114;175;165
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Neoplasma;31;4;63;9;20;13;19;27;20;31;23
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;4;20;10;5;4;1;0;8;6;4;3
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Endokrin, nutrisi dan gangguan metabolik;105;52;292;67;84;62;93;93;109;165;124
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Gangguan jiwa dan perilaku;15;28;40;6;12;10;7;9;7;6;15
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit yang mengenai sistem syaraf;22;129;65;13;14;23;14;16;30;28;26
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit mata dan adnexa;112;555;313;66;110;116;123;126;105;125;126
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit telinga dan mastoid;46;527;128;28;28;38;29;42;34;35;45
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem sirkulasi;115;147;338;156;280;245;200;151;107;96;67
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem pernafasan;475;291;1.439;376;479;464;484;782;592;582;368
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem pencernaan;371;46;975;211;392;298;412;413;395;448;379
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada kulit dan jaringan subcutaneous;151;1;425;83;129;114;131;151;126;141;174
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem musculoskletal;180;245;562;131;241;230;241;326;247;293;194
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem saluran kemih dan genital;36;52;98;14;32;19;24;31;44;34;44
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Kehamilan dan kelahiran;1;387;6;0;6;2;1;11;1;3;6
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Keadaan yang berasal dari periode perinatal;1;181;3;0;0;0;1;0;0;0;0
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Malformasi kongenital, deformasi dan kelainan chromosom;2;5;2;1;1;1;2;0;0;2;4
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;60;2;186;33;61;34;61;99;91;112;77
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Keracunan, cedera dan beberapa penyebab yang dari luar;78;71;181;45;63;74;84;69;95;110;68
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyebab morbiditas dan kematian eksternal;0;6;0;1;1;0;0;0;0;1;0
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;277;24;622;136;312;428;504;316;218;166;212
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit Infeksi dan parasit;151;10;458;122;140;126;137;180;149;151;176
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Neoplasma;29;43;80;24;26;23;26;30;35;47;16
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;12;72;29;6;7;4;8;6;10;18;10
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Endokrin, nutrisi dan gangguan metabolik;76;618;210;38;67;55;96;64;48;43;67
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Gangguan jiwa dan perilaku;3;344;15;2;8;8;4;10;9;9;5
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit yang mengenai sistem syaraf;26;136;71;16;42;23;37;29;26;25;19
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit mata dan adnexa;42;170;170;28;48;58;45;60;55;52;57
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit telinga dan mastoid;47;33;123;24;58;35;50;39;40;45;50
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem sirkulasi;135;0;409;73;153;134;110;160;110;137;130
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem pernafasan;565;90;1.685;452;524;539;528;760;674;631;424
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem pencernaan;584;63;1.702;420;606;516;561;617;493;620;581
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada kulit dan jaringan subcutaneous;147;227;442;109;147;129;151;180;134;170;167
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem musculoskletal;268;65;832;156;328;218;231;274;246;314;274
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem saluran kemih dan genital;33;0;123;25;38;37;71;49;58;76;80
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Kehamilan dan kelahiran;12;0;32;16;11;10;10;15;12;20;3
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Keadaan yang berasal dari periode perinatal;2;23;6;2;4;4;1;4;1;1;4
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Malformasi kongenital, deformasi dan kelainan chromosom;0;2;1;1;0;0;3;1;2;1;2
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;272;0;784;142;225;161;181;230;272;287;235
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Keracunan, cedera dan beberapa penyebab yang dari luar;56;97;184;41;70;37;59;52;65;66;48
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyebab morbiditas dan kematian eksternal;2;10;3;0;1;1;2;3;1;1;0
